address,amount_usd,success,selector_used,user_agent
0xcd210e8f21b6a1d2c9a832681220ad6c6792a360,7065,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xcd3931c814f92494c1de35e89f9e166d805ebcfb,10077,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0xcf655bae9b51aeeea7d04c8b2611d457fad588a7,0,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0xcfdf62de9d81024def4c4efc421d192860326fae,105889,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0xd0ce6ab697befca4e0cc265a93b4e8b7f7c96ee2,4420,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xd1ea6253c1b722dbae59c1a0f32a66f1ccf98d3c,10228,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xd2688fcc1c2ebcb40589ef5855d554adac2ac1a2,9904,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0xd2740fa3cae559133612a680c8c9b074e3f71eff,2,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0xd46e2092b2ff22d0e0278187d4ceb75634a62737,30566,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
0xd5a5edd0deccb7819d2e57820c669aa9bf9f5346,36665,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
